ISOURCE_CD,ISOURCE_GRP,
UASNCR,Field Domestic,
UASNHN,Field Domestic,
UASNJB,Field Domestic,
UASNJP,Field Domestic,
UASNJR,Field Domestic,
UASNJS,Field Domestic,
UASNYL,Field Domestic,
UASNYT,Field Domestic,
UASNYU,Field Domestic,
UASOHC,Field Domestic,
UASPAB,Field Domestic,
UASPAD,Field Domestic,
UASPRS,Field Domestic,
UASSCC,Field Domestic,
UASSCO,Field Domestic,
UASSV,Field Visit International,
UASTXD,Field Domestic,
UASTXH,Field Domestic,
UASWAS,Field Domestic,
UCAPSC,Fair International,
UCAPSO,Fair International,
UCAPST,Fair International,
UCDCD,Campus Event,
UCDGS,Campus Event,
UCDNO,Campus Event,
UCDSP,Campus Event,
UCDVD,Campus Event,
UCIF,Campus Event,
UCISU,Campus Event,
UCMPCO,College Event,
UCNALR,Field Domestic,
UCNSPR,Field Domestic,
UCTASI,Fair International,
UCTF,Fair International,
UCTIND,Fair International,
UCTOCF,Fair International,
UCTOSV,Field Visit International,
UCTSFC,Fair,
UCVACE,Fair International,
UCVF,Campus Event,
UCVFW,Campus Event,
UCVS,Campus Event,
UCVSW,Campus Event,
UCVU,Campus Event,
UCVUW,Campus Event,
UDNCA6,Fair,
UDNCP6,Fair,
UDNCPO,Fair,
UDNCPT,Fair,
UDNFOD,Fair,
UDNPFF,Fair,
UDNPFG,Fair,
UDNPFS,Fair,
UDNPFW,Fair,
UDNS6N,Fair,
UDNTAF,Fair,
UDNTAS,Fair,
UDNTFC,Fair,
UDNTFO,Fair,
UECDEF,Fair,
UECFRC,Fair,
UECOHA,College Event,
UECWEE,Fair,
UEFLD,Fair,
UEML,Email Inquiry,
UEPCAL,Field Domestic,
UEPGAA,Field Domestic,
UEUCF,Fair International,
UEUEV,Field Visit International,
UEULND,Field Visit International,
UEULND UEULND,Field Visit International,
UEUSV,Field Visit International,
UFANLO,Fair,
UFCI,Campus Event,
UFDASC,Fair,
UFDNYB,Fair,
UFDRCS,Field Visit,
UFDRFR,Fair,
UFDWSC,Fair,
UFFP,Fair,
UFHC,Field Domestic,
UFHTU,Other,
UFHV,Field Visit,
UFIALB,Field Domestic,
UFIAZP,Field Domestic,
UFIAZT,Field Domestic,
UFICAA,Field Domestic,
UFICAH,Field Domestic,
UFICAS,Field Domestic,
UFICOB,Field Domestic,
UFICOC,Field Domestic,
UFICOD,Field Domestic,
UFICSA,Field Domestic,
UFICSD,Field Domestic,
UFICSF,Field Domestic,
UFICTF,Field Domestic,
UFICTH,Field Domestic,
UFICTN,Field Domestic,
UFICTS,Field Domestic,
UFIDBA,Field Domestic,
UFIDDT,Field Domestic,
UFIDPH,Field Domestic,
UFIEMA,Field Domestic,
UFIFLB,Field Domestic,
UFIFLF,Field Domestic,
UFIFLJ,Field Domestic,
UFIFLM,Field Domestic,
UFIFLN,Field Domestic,
UFIFLP,Field Domestic,
UFIFLT,Field Domestic,
UFIGAA,Field Domestic,
UFIHIH,Field Domestic,
UFIHS,Field Domestic,
UFIHSS,Field Visit,
UFIILA,Field Domestic,
UFIILH,Field Domestic,
UFIILN,Field Domestic,
UFIILS,Field Domestic,
UFIINI,Field Domestic,
UFIKSK,Field Domestic,
UFIKSW,Field Domestic,
UFILAB,Field Domestic,
UFILH,Field Domestic,
UFILUH,Field Domestic,
UFIMAS,Field Domestic,
UFIMAW,Field Domestic,
UFIMBB,Field Domestic,
UFIMBC,Field Domestic,
UFIMBN,Field Domestic,
UFIMBS,Field Domestic,
UFIMDB,Field Domestic,
UFIMDG,Field Domestic,
UFIMDT,Field Domestic,
UFIMEP,Field Domestic,
UFIMID,Field Domestic,
UFIMNM,Field Domestic,
UFINAF,Fair,
UFINCC,Field Domestic,
UFINCR,Field Domestic,
UFINEO,Field Domestic,
UFINHM,Field Domestic,
UFINJM,Field Domestic,
UFINJN,Field Domestic,
UFINJP,Field Domestic,
UFINMA,Field Domestic,
UFINVL,Field Domestic,
UFINYB,Field Domestic,
UFINYC,Field Domestic,
UFINYT,Field Domestic,
UFIOCL,Field Domestic,
UFIOHC,Field Domestic,
UFIOKO,Field Domestic,
UFIORP,Field Domestic,
UFIPHS,Field Domestic,
UFIPPH,Field Domestic,
UFIPPI,Field Domestic,
UFIPPN,Field Domestic,
UFIPPW,Field Domestic,
UFIPRS,Field Domestic,
UFIRIP,Field Domestic,
UFISAS,Field Domestic,
UFISCC,Field Domestic,
UFISDR,Field Domestic,
UFITNC,Field Domestic,
UFITNN,Field Domestic,
UFITXA,Field Domestic,
UFITXD,Field Domestic,
UFITXH,Field Domestic,
UFITXS,Field Domestic,
UFIUTS,Field Domestic,
UFIVAF,Field Domestic,
UFIVAR,Field Domestic,
UFIVTB,Field Domestic,
UFIWAD,Field Domestic,
UFIWAS,Field Domestic,
UFIWDC,Field Domestic,
UFIWGB,Field Domestic,
UFIWIM,Field Domestic,
UFPVAG,Fair,
UFPVBM,Fair,
UFPVCI,Fair,
UFPVCO,Fair,
UFPVDC,Fair,
UFPVDT,Fair,
UFPVFF,Fair,
UFPVHT,Fair,
UFPVIM,Fair,
UFPVLC,Fair,
UFPVLN,Fair,
UFPVMM,Fair,
UFPVNL,Fair,
UFPVNN,Fair,
UFPVPP,Fair,
UFPVPP?,Fair,
UFPVSC,Fair,
UFPVSD,Fair,
UFPVSW,Fair,
UFPVTF,Fair,
UFPVWD,Fair,
UFSALC,Fair,
UFSANY,Fair,
UFSASL,Fair,
UFSCCA,Fair International,
UFSCCT,Fair,
UFSCSF,Fair,
UFSCTC,Fair,
UFSCTD,Fair,
UFSCTF,Fair,
UFSCTH,Fair,
UFSCTK,Fair,
UFSCTO,Fair,
UFSCTP,Fair,
UFSCTR,Fair,
UFSCTS,Fair,
UFSCTT,Fair,
UFSDAT,Fair,
UFSDCF,Fair,
UFSHCH,Fair,
UFSHDA,Fair,
UFSHDE,Fair,
UFSHFA,Fair,
UFSHHO,Fair,
UFSHLA,Fair,
UFSHNJ,Fair,
UFSHNY,Fair,
UFSHOC,Fair,
UFSIBO,Fair,
UFSIDC,Fair,
UFSILC,Fair,
UFSIMD,Fair,
UFSINJ,Fair,
UFSIPA,Fair,
UFSIPB,Fair,
UFSIRI,Fair,
UFSISC,Fair,
UFSIVA,Fair,
UFSJKC,Fair,
UFSLIR,Fair,
UFSMAA,Fair,
UFSMAC,Fair,
UFSMIA,Fair,
UFSMOS,Fair,
UFSMY,Fair,
UFSNAF,Fair,
UFSNAT,Fair,
UFSNAU,Fair,
UFSNBO,Fair,
UFSNBU,Fair,
UFSNCH,Fair,
ufsnch,Fair,
ufsnch ufsnch,Fair,
UFSNCL,Fair,
UFSNCO,Fair,
UFSNDA,Fair,
UFSNDT,Fair,
UFSNHA,Fair,
UFSNHE,Fair,
UFSNHL,Fair,
UFSNHO,Fair,
UFSNHP,Fair,
UFSNHU,Fair,
UFSNIE,Fair,
UFSNJB,Fair,
UFSNJL,Fair,
UFSNJT,Fair,
UFSNLA,Fair,
UFSNMC,Fair,
UFSNME,Fair,
UFSNMI,Fair,
UFSNNA,Fair,
UFSNNE,Fair,
UFSNNJ,Fair,
UFSNNY,Fair,
UFSNOC,Fair,
UFSNPG,Fair,
UFSNPI,Fair,
UFSNPR,Fair,
UFSNRA,Fair,
UFSNRO,Fair,
ufsnro,Fair,
UFSNSA,Fair,
UFSNSD,Fair,
UFSNSP,Fair,
UFSNSY,Fair,
UFSNTA,Fair,
UFSNVN,Fair,
UFSNWM,Fair,
UFSPAM,Fair,
UFSPAS,Fair,
UFSPML,Fair,
UFSRDE,Fair,
UFSRIG,Fair,
UFSSBO,Fair,
UFSSCH,Fair,
UFSSDU,Fair,
UFSSFN,Fair,
UFSSNJ,Fair,
UFSSNY,Fair,
UFSSPH,Fair,
UFSTLG ,Fair,
UFSVT,Fair,
UFSWAC,Fair,
UFSWCS,Fair,
UFSWEB,Fair,
UFSWLV,Fair,
UFSWMA,Fair,
UFSWNB,Fair,
UFSWSA,Fair,
UFSWSC,Fair,
UFSWSF,Fair,
UFSWSM,Fair,
UFSWSO,Fair,
UFSWST,Fair,
UFSYPB,Fair,
UFTBOP,Fair,
UFTBOS,Fair,
UFTCHS,Fair,
UFTF,Fair,
UFTFAF,Fair,
UFTFAH,Fair,
UFTFAI,Fair,
UFTFAL,Fair,
UFTFAN,Fair,
UFTFAS,Fair,
UFTFAT,Fair,
UFTFBC,Fair,
UFTFBL,Fair,
UFTFBP,Fair,
UFTFCA,Fair,
UFTFCC,Fair,
UFTFCH,Fair,
UFTFCN,Fair,
UFTFCO,Fair,
UFTFCS,Fair,
UFTFDA,Fair,
UFTFDF,Fair,
UFTFDL,Fair,
UFTFEP,Fair,
UFTFFC,Fair,
UFTFFL,Fair,
UFTFGA,Fair,
UFTFHC,Fair,
UFTFHP,Fair,
UFTFHU,Fair,
UFTFHV,Fair,
UFTFKN,Fair,
UFTFLA,Fair,
UFTFLC,Fair,
UFTFLV,Fair,
UFTFMF,Fair,
UFTFMI,Fair,
UFTFMN,Fair,
UFTFMS,Fair,
UFTFNC,Fair,
UFTFNM,Fair,
UFTFNO,Fair,
uftfno,Fair,
UFTFNV,Fair,
UFTFOR,Fair,
UFTFPB,Fair,
UFTFPE,Fair,
UFTFPH,Fair,
UFTFPI,Fair,
UFTFPN,Fair,
UFTFPS,Fair,
UFTFPT,Fair,
UFTFPX,Fair,
UFTFRG,Fair,
UFTFSA,Fair,
UFTFSC,Fair,
UFTFSE,Fair,
UFTFSN,Fair,
UFTFSP,Fair,
UFTFSR,Fair,
UFTFTA,Fair,
UFTFTO,Fair,
UFTFUC,Fair,
UFTLVC,Fair,
UFTTAA,Fair,
UFTTAT,Fair,
UFTTBC,Fair,
UFTTBH,Fair,
UFTTCC,Fair,
UFTTCR,Fair,
UFTTDC,Fair,
UFTTEC,Fair,
UFTTFL,Fair,
UFTTGA,Fair,
UFTTGC,Fair,
UFTTHC,Fair,
UFTTHV,Fair,
UFTTJF,Fair,
UFTTJT,Fair,
UFTTMC,Fair,
UFTTMD,Fair,
UFTTMF,Fair,
UFTTMV,Fair,
UFTTNL,Fair,
UFTTNN,Fair,
UFTTNW,Fair,
UFTTOC,Fair,
UFTTOT,Fair,
UFTVIM,Fair,
UFVH,Field Visit,
UHFCTS,Fair,
UHFGAT,Fair,
UHFICW,Fair,
UHFMBO,Fair,
UHFMDM,Fair,
UHFPPH,Fair,
UHFV,Field Visit,
UHFWMI,Fair,
UHOLD,Holding,
uhslva,Field Visit,
UHSNA,Field Visit,
uhsv,Field Domestic,
UHSVF,Field Visit,
UHSVLS,Field Visit,
UHSVS,Field Visit,
UIFICO,Field International,
UIFICT,Field International,
UIFIEL,Field International,
UIFIEU,Field International,
UIFIME,Field International,
UIFISZ,Field International,
UISGOA,College Event,
UISWAS,Fair,
ULACF,Fair International,
ULASV,Field Visit International,
ULCFS,Letter Inquiry,
ULET,Letter Inquiry,
ULFAL1,Field Domestic,
ULFAL2,Field Domestic,
ULFAL3,Field Domestic,
ULFFP,Fair,
ulffp,Fair,
ulffp ulffp,Fair,
ULFPP,Fair,
ULHAVF,Field Visit,
ULHFP,Other,
ULHSFV,Field Visit,
ULHSI,Field Domestic,
ULHSSI,Field Domestic,
ULHSVF,Field Visit,
ULSFP,Fair,
ULSFP ULSFP,Fair,
ULTAS,Fair International,
ULTIND,Fair International,
ULTLA,Fair International,
ULTME,Fair International,
ULUB,Phone Inquiry,
ULUINS,Field Domestic,
ULUINT,Field Domestic,
ULVF,Field Domestic,
ULVS,Field Domestic,
ULVU,Field Domestic,
UMECF,Fair International,
UMESV,Field Visit International,
UMISC,Other,
UMXCF,Fair International,
UNAALB,Fair,
UNAAZP,Fair,
UNACAA,Fair,
UNACAS,Fair,
UNACOD,Fair,
UNACSF,Fair,
UNADEC,Fair,
UNAFLF,Fair,
UNAFLJ,Fair,
UNAILC,Fair,
UNAINI,Fair,
UNALAB,Fair,
UNALAN,Fair,
UNAMDB,Fair,
UNAMEC,Fair,
UNAMNM,Fair,
UNANAV,Fair,
UNANCR,Fair,
UNANYL,Fair,
UNAOHC,Fair,
UNAORP,Fair,
UNAPAP,Fair,
UNAWAS,Fair,
UNAWDC,Fair,
UNAWIM,Fair,
UNCFCT,Fair International,
UNCFCV,Fair International,
UNCFSP,Fair,
UNEBMP,Fair,
UNENES,Fair,
UNESCF,Fair,
UNESNH,Fair,
UNEUMA,Fair,
UNEUMG,Fair,
UNEUMO,Fair,
UNEUND,Fair,
UNEUVT,Fair,
UNEWMG,Fair,
UNEWNE,Fair,
UOCCT,Other,
UOICF,Fair International,
UOIS,Virtual Event,
UOIF,Virtual Event,
UOISC,Field Visit International,
UOIU,Virtual Event,
UPCPN,Event,
UPGAS,Other,
UPRO,Other,
URAOP,Campus Event,
USACN,Fair,
USAYES,Fair,
USCDA,Campus Event,
USCI,Campus Event,
USCN,Fair,
USCN USCN,Fair,
USFHVLA,Field Visit,
USFNRC,Fair,
USFNRC USFNRC,Fair,
USGP,Other,
USGSTM,Campus Event,
USGTF,Campus Event,
USGTS,Campus Event,
USGTS USGTS,Campus Event,
USGTU,Campus Event,
USGTV,Campus Event,
USGTVF,Campus Event,
USGTVS,Campus Event,
USGTVU,Campus Event,
ushlv,Field Visit,
ushlva,Field Visit,
USHULA,Field Visit,
USHV,Field Visit,
ushv,Field Visit,
USHVL,Field Visit,
USHVL USHVL,Field Visit,
USHVLA,Field Visit,
USHVSE,Field Visit,
USINSE,Field Domestic,
USLHSVF,Field Visit,
USMATD,Campus Event,
USMCI,Campus Event,
USPGAD,Fair,
USPGAF,Fair,
USPGAK,Fair,
USPGAL,Fair,
USPGAS,Fair,
USRATD,Campus Event,
USSH,Search Response,
USTCSD,Field Domestic,
USTEMH,Field Visit,
USTF,Fair,
USTFGA,Fair,
USTFSE,Fair,
USTGAC,Fair,
USTGAD,Fair,
USTGAE,Fair,
USTPCF,Fair,
USTPHO,Fair,
USTPNY,Fair,
USTPSE,Field Domestic,
USTSN,Field Domestic,
USUF,Fair,
USUMCA,Campus Event,
USVM,Search Response,
UTFFAL,Fair,
UTFSPR,Fair,
UTIF,Virtual Event,
UTISS,Virtual Event,
UTISU,Virtual Event,
UULOA,Campus Event,
UVMMJ,MyMajors,
UVPCV,College Event,
UVPDAU,College Event,
UVPINT,College Event,
UVPMAU,College Event,
Ventures Scholars,Ventures Scholars,
VFPVIM,Fair,
VI InitialView ,Other,
VI Naviance,Other,
Virtual Event ,Virtual Event ,
Virtual Tour,Virtual Tour,
VPA Ohio Gov Art Award,Form Inquiry,
WCD,Campus Event,
WCD 2013,Campus Event,
WCD2014,Campus Event,
Web,Web Inquiry,
Web Update ,Web Inquiry,
WEBAR,Web Inquiry,
WEBAS,Web Inquiry,
WEBEC,Web Inquiry,
WEBED,Web Inquiry,
WEBIS,Web Inquiry,
WEBMG,Web Inquiry,
WEBPC,Web Inquiry,
WEBSH,Web Inquiry,
WEBVPC,Web Inquiry,
WEBVPD,Web Inquiry,
WEBVPG,Web Inquiry,
WEBVPM,Web Inquiry,
WEBVPR,Web Inquiry,
WEBVPX,Web Inquiry,
Word of mouth ,Other,
YLFFP,Fair,
YouVisit,Virtual Tour,
Zinch - Domestic,Zinch/Chegg,
Zinch Match+,Zinch/Chegg,
